"sfid","nfid","zm"
690,"L-05-607","len"
691,"L-01-895","len"
692,"Q-00-137","qro"
693,"L-06-531","len"
694,"Q-06-388","qro"
695,"L-06-787","len"
696,"L-02-829","len"
697,"Q-05-834","qro"
698,"Q-05-754","qro"
699,"L-06-856","len"
700,"L-09-578","len"
701,"L-02-856","len"
702,"L-05-386","len"
703,"Q-00-450","qro"
704,"L-10-152","len"
705,"Q-09-396","qro"
706,"L-02-056","len"
707,"L-06-677","len"
708,"Q-07-455","qro"
709,"L-01-833","len"
710,"L-01-712","len"
711,"Q-10-193","qro"
712,"L-07-127","len"
713,"Q-01-714","qro"
714,"L-09-281","len"
715,"Q-02-446","qro"
716,"L-03-877","len"
717,"L-02-813","len"
718,"L-00-513","len"
719,"L-07-262","len"
720,"Q-05-418","qro"
721,"L-04-189","len"
722,"Q-02-286","qro"
723,"L-05-203","len"
724,"L-09-208","len"
725,"L-09-027","len"
726,"L-10-365","len"
727,"Q-04-060","qro"
728,"Q-03-222","qro"
729,"Q-03-009","qro"
730,"Q-09-753","qro"
731,"Q-10-903","qro"
732,"L-00-866","len"
733,"L-07-085","len"
734,"L-01-569","len"
735,"L-06-754","len"
736,"Q-06-017","qro"
737,"L-07-976","len"
738,"Q-05-732","qro"
739,"Q-10-575","qro"
740,"Q-02-049","qro"
741,"L-10-254","len"
742,"L-02-205","len"
743,"Q-07-260","qro"
744,"Q-01-201","qro"
745,"L-07-350","len"
746,"Q-03-553","qro"
747,"L-08-379","len"
748,"L-07-182","len"
749,"Q-02-328","qro"
750,"Q-05-801","qro"
751,"L-05-093","len"
752,"L-00-522","len"
753,"L-05-168","len"
754,"Q-08-151","qro"
755,"Q-08-397","qro"
756,"Q-05-223","qro"
757,"Q-01-445","qro"
758,"L-00-975","len"
759,"Q-08-430","qro"
760,"Q-00-098","qro"
761,"Q-05-840","qro"
762,"Q-01-106","qro"
763,"Q-07-241","qro"
764,"Q-07-877","qro"
765,"L-05-164","len"
766,"L-09-757","len"
767,"Q-07-500","qro"
768,"L-03-380","len"
769,"Q-06-947","qro"
770,"L-09-464","len"
771,"L-08-664","len"
772,"L-07-211","len"
773,"Q-08-540","qro"
774,"L-04-904","len"
775,"L-09-875","len"
776,"Q-02-599","qro"
777,"Q-10-630","qro"
778,"Q-09-533","qro"
779,"Q-03-771","qro"
780,"L-03-911","len"
781,"Q-07-771","qro"
782,"L-03-712","len"
783,"Q-00-559","qro"
784,"Q-00-216","qro"
785,"L-06-948","len"
786,"L-05-474","len"
787,"L-01-708","len"
788,"Q-02-219","qro"
789,"Q-05-971","qro"
790,"L-04-302","len"
791,"Q-07-161","qro"
792,"L-05-952","len"
793,"Q-07-409","qro"
794,"L-03-403","len"
