sfid,nfid,zm,tipo 1,tipo2,descripcion ,observa,valida
474,Q-07-091,qro,privado,jardin residencial,popular,,
475,L-10-405,len,privado,jardin residencial,rural,,
476,Q-00-560,qro,privado,jardin institucional,industrial,,
477,L-07-184,len,privado,jardin residencial,rural,,
478,L-07-451,len,privado,jardin residencial,residencial,,
479,L-08-352,len,privado,baldio/zona de reserva,,,
480,L-08-586,len,privado,jardin institucional,industrial,,
481,Q-08-189,qro,privado,jardin institucional,industrial,,
482,L-08-460,len,privado,jardin residencial,rural,,
483,Q-10-263,qro,privado,jardin residencial,rural,,
484,Q-08-123,qro,privado,jardin institucional,industrial,hay duda de que es realmente,
485,Q-09-482,qro,privado,jardin residencial,rural,,
486,L-05-490,len,privado,jardin institucional,tratamiento de aguas,,
487,L-03-441,len,privado,baldio/zona de reserva,,,
488,Q-05-623,qro,privado,baldio/zona de reserva,,,
489,Q-00-966,qro,privado,jardin residencial,,zona residencial en desarrollo,
490,Q-09-905,qro,privado,jardin institucional,jardin de fiestas,,
491,Q-10-922,qro,privado,jardin residencial,rural,,
492,L-05-505,len,privado,jardin residencial,campestre,,
493,L-08-180,len,privado,jardin residencial,campestre,,
494,Q-02-975,qro,privado,baldio/zona de reserva,rural,,
